geoUnit,year,"Completion rate, upper secondary education, both sexes (modelled data) (%)"
AGO,2024,20
ALB,2024,88.2
ARG,2024,65.7
ARM,2024,90.3
AUS,2024,88.6
AUT,2024,85.9
AZE,2024,77.60000000000000
BDI,2024,9.8
BEL,2024,86
BEN,2024,20.6
BFA,2024,15.5
BGD,2024,39.3
BGR,2024,87
BIH,2024,65.5
BLR,2024,92.9
BOL,2024,75.8
BRA,2024,71.3
BRB,2024,95.40000000000000
BTN,2024,74.5
BWA,2024,63.9
CAF,2024,9.1
CAN,2024,88
CHE,2024,92.7
CHL,2024,84.6
CHN,2024,88.1
CIV,2024,16.3
CMR,2024,21.1
COD,2024,22.5
COG,2024,31.1
COL,2024,66.7
COM,2024,34.60000000000000
CRI,2024,55.90000000000000
CUB,2024,71.90000000000000
CYP,2024,92.9
CZE,2024,90.10000000000000
DEU,2024,81.90000000000000
DJI,2024,33.7
DNK,2024,76.2
DOM,2024,60.6
DZA,2024,49.4
ECU,2024,76
EGY,2024,87.6
ESP,2024,74.3
EST,2024,85.2
ETH,2024,15.2
FIN,2024,89.7
FJI,2024,93.4
FRA,2024,87.4
GAB,2024,22.4
GBR,2024,90
GEO,2024,92.5
GHA,2024,45.2
GIN,2024,24.9
GMB,2024,33.1
GNB,2024,11.3
GNQ,2024,8.200000000000000
GRC,2024,94.90000000000000
GTM,2024,39.8
GUY,2024,70.1
HND,2024,51.7
HRV,2024,98.1
HTI,2024,19.5
HUN,2024,86.1
IDN,2024,40
IND,2024,63.9
IRL,2024,94.70000000000000
IRN,2024,74.3
IRQ,2024,52.2
ISL,2024,66.10000000000000
ISR,2024,92.9
ITA,2024,87
JAM,2024,95.5
JOR,2024,67.60000000000000
KAZ,2024,99
KEN,2024,37.4
KGZ,2024,93.10000000000000
KHM,2024,24.7
KIR,2024,20.8
KOR,2024,99.3
LAO,2024,31.8
LBR,2024,13.9
LCA,2024,92.80000000000000
LSO,2024,24
LTU,2024,91.7
LUX,2024,81
LVA,2024,86.9
MAR,2024,26.5
MDA,2024,81
MDG,2024,14.1
MDV,2024,39.4
MEX,2024,58.7
MKD,2024,85.1
MLI,2024,12.1
MLT,2024,82.6
MMR,2024,23.8
MNE,2024,88.8
MNG,2024,92.2
MOZ,2024,8.3
MRT,2024,23.3
MUS,2024,60.4
MWI,2024,15.7
MYS,2024,62.3
NAM,2024,36.5
NER,2024,4.9
NGA,2024,64
NIC,2024,38.3
NLD,2024,79.2
NOR,2024,80.9
NPL,2024,50.4
NRU,2024,82.1
PAK,2024,26.2
PAN,2024,63.9
PER,2024,86.2
PHL,2024,72.6
PNG,2024,15.1
POL,2024,91.5
PRT,2024,82.3
PRY,2024,67.7
PSE,2024,83.90000000000000
QAT,2024,86.3
ROU,2024,81.40000000000000
RUS,2024,91.4
RWA,2024,21.8
SDN,2024,33.90000000000000
SEN,2024,14.6
SLE,2024,14.1
SLV,2024,35.3
SOM,2024,8.6
SRB,2024,82
SSD,2024,2
STP,2024,54.3
SUR,2024,32.8
SVK,2024,93.2
SVN,2024,92.9
SWE,2024,89.1
SYR,2024,36.6
TCD,2024,6.4
TGO,2024,22
THA,2024,71.2
TJK,2024,79.10000000000000
TKM,2024,94.5
TLS,2024,55.60000000000000
TON,2024,86.9
TTO,2024,84.6
TUR,2024,71.40000000000000
TUV,2024,55.2
TZA,2024,10.9
UGA,2024,17.2
UKR,2024,97.1
URY,2024,43.7
USA,2024,93.2
UZB,2024,98.8
VEN,2024,44.9
VNM,2024,53.3
VUT,2024,11.3
WSM,2024,59.60000000000000
YEM,2024,39
ZAF,2024,50.9
ZMB,2024,29.8
ZWE,2024,8